number,value,datetime_start,datetime_complete,duration,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,params_IMS_binarization_threshold,params_IMS_gaussian_sigma,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
25,-0.06409725662799379,2025-03-25 15:52:11.343075,2025-03-25 15:52:12.484510,0 days 00:00:01.141435,42.0445839028988,True,0.4622427926112589,3.5243138933306,0.16296544810117708,0.05940650177121155,0.08033410723997951,2.315120967155452,19.0,0.21348314606741572,89.0,70.0,,,-0.300245044204813,-0.04363299960340142,"[[ 3.36498017e-02  2.43137052e-03  3.64650281e+02]
 [-2.43137052e-03  3.36498017e-02  7.32293330e+01]]",63.0,1.0000000000000009,1.0000000000000044,45.0,COMPLETE
26,-0.0326978653197724,2025-03-25 15:52:12.493853,2025-03-25 15:52:14.036919,0 days 00:00:01.543066,71.17055964886715,False,0.344589077156379,3.9933420319934188,0.02908992256027075,0.09979451882119286,0.15725185582600365,4.515572709835526,18799.0,0.7038978544950762,26707.0,7908.0,,,-0.04645257136524078,0.4602528481525269,"[[ 6.06294697e-01 -3.58491608e-02  3.66264572e+02]
 [ 3.58491608e-02  6.06294697e-01  5.62917992e+01]]",19134.0,1.000000000000091,1.0000000000009077,26372.0,COMPLETE
27,0.0,2025-03-25 15:52:14.045291,2025-03-25 15:52:14.116619,0 days 00:00:00.071328,87.54931337274523,True,0.10242805704463032,1.9400422367189414,0.00019000759307958442,0.0377303007586892,0.4710574944366596,3.9295415024885503,,,,,,,,,,,,,,COMPLETE
28,0.04148116400265792,2025-03-25 15:52:14.124177,2025-03-25 15:52:17.302775,0 days 00:00:03.178598,54.22740548538179,False,0.24363506422156248,4.659354241962115,0.11817608325150564,0.01979907501861877,0.24109828390845467,3.541037223697729,85629.0,0.7672161992652988,111610.0,25981.0,,,0.054067111776812185,0.5314701760568484,"[[ 1.41550335e+00  5.80815045e-02  6.75941641e+01]
 [-5.80815045e-02  1.41550335e+00  1.62351168e+01]]",92804.0,1.0000000000012323,1.000000000002893,104435.0,COMPLETE
29,0.0,2025-03-25 15:52:17.313481,2025-03-25 15:52:18.476071,0 days 00:00:01.162590,58.1123293622864,False,0.2500410453618086,4.717042199769609,0.02428511375498786,0.00010033308593527732,0.35776043590341905,3.0007930472949598,0.0,0.0,1.0,1.0,,,,-0.3589152297729826,"[[ 6.58095115e-03 -2.46752380e-03  2.75160939e+02]
 [ 2.46752380e-03  6.58095115e-03  5.40097886e+01]]",1.0,,1.0000000000000004,0.0,COMPLETE
30,-0.495075904489502,2025-03-25 15:52:18.484366,2025-03-25 15:52:19.590870,0 days 00:00:01.106504,68.04129819543974,False,0.2291547133774583,3.2000108410451986,0.060463167564688385,0.018441599083296942,0.07046309293843109,4.69923115388179,8.0,0.8,10.0,2.0,,,-0.6188448806118775,-0.027007949683043115,"[[ 7.73085541e-03 -9.62723398e-03  6.92435642e+01]
 [ 9.62723398e-03  7.73085541e-03  1.68403922e+02]]",9.0,1.0000000000000004,1.0000000000000004,9.0,COMPLETE
31,-0.05803993336485852,2025-03-25 15:52:19.600606,2025-03-25 15:52:20.776965,0 days 00:00:01.176359,51.47251935219779,False,0.07142796020603023,4.334123093930097,0.11299777694766647,0.030708208120593918,0.24036243257684425,3.5384694281393734,96.0,0.4948453608247423,194.0,98.0,,,-0.11728903200815159,-0.11931864065962659,"[[ 2.85085696e-02  4.48941262e-02  3.55686086e+02]
 [-4.48941262e-02  2.85085696e-02  3.13163521e+02]]",139.0,1.0000000000000024,1.0000000000000113,151.0,COMPLETE
32,0.0,2025-03-25 15:52:20.785399,2025-03-25 15:52:20.891772,0 days 00:00:00.106373,29.147398389328465,False,0.3390214576345712,2.727532745072569,0.11040365617653322,0.019099502445921533,0.31533419713458116,4.2620883743822775,,,,,,,,,,,,,,COMPLETE
33,0.24480159839603458,2025-03-25 15:52:20.900096,2025-03-25 15:52:22.024781,0 days 00:00:01.124685,38.71122993332139,True,0.4983419003329945,3.7836300423556217,0.14274560071532513,0.054270520511994866,0.0009351547467924921,3.6611771823256434,14.0,0.5384615384615384,26.0,12.0,,,0.4546315398783499,0.39950664920033574,"[[-5.56776249e-03  1.66766466e-02  3.94778203e+02]
 [-1.66766466e-02 -5.56776249e-03  2.77920761e+02]]",20.0,1.0000000000000004,1.0000000000000009,20.0,COMPLETE
34,0.0,2025-03-25 15:52:22.035022,2025-03-25 15:52:23.150869,0 days 00:00:01.115847,37.51193293576256,False,0.2925538115462724,3.727983328079463,0.15969295206921114,0.059649037872920634,0.0634482628052051,3.3000077046977854,1.0,1.0,1.0,0.0,,,,,"[[ 6.30750818e-04 -3.41527411e-03  5.47075103e+02]
 [ 3.41527411e-03  6.30750818e-04  1.53409922e+02]]",1.0,,,1.0,COMPLETE
