number,value,datetime_start,datetime_complete,duration,params_FISH_binarization_threshold,params_FISH_gaussian_sigma,params_IMC_arcsinh_cofactor,params_IMC_arcsinh_normalize,params_IMC_binarization_threshold,params_IMC_gaussian_sigma,params_IMC_winsorization_lower_limit,params_IMC_winsorization_upper_limit,user_attrs_logical_and,user_attrs_logical_iou,user_attrs_logical_or,user_attrs_logical_xor,user_attrs_prop_source_covered,user_attrs_prop_target_covered,user_attrs_reg_cell_max_corr,user_attrs_reg_image_max_corr,user_attrs_registration_matrix,user_attrs_source_sum,user_attrs_stack_cell_max_corr,user_attrs_stack_image_max_corr,user_attrs_target_sum,state
36,0.0,2025-03-17 17:19:59.927415,2025-03-17 17:20:02.583773,0 days 00:00:02.656358,0.24791583915961013,3.8364545048697267,10.493370670963198,False,0.19872722167220724,2.666101246487544,0.06745504162748857,0.009391427679361436,,,,,,,,,,,,,,COMPLETE
37,0.0,2025-03-17 17:20:02.593092,2025-03-17 17:20:04.066126,0 days 00:00:01.473034,0.13559868101173284,4.966193431932525,17.26724241555577,True,0.12043785595574805,3.0166556608368094,0.0478613564504468,0.04354828649877544,,,,,,,,,,,,,,COMPLETE
38,0.0,2025-03-17 17:20:04.074970,2025-03-17 17:20:05.162212,0 days 00:00:01.087242,0.13558280850972995,4.336081158163255,7.444467388962437,False,0.05275600840314154,3.711938837648586,0.06351603553841727,0.03146114383704043,,,,,,,,,,,,,,COMPLETE
39,0.1263914823777533,2025-03-17 17:20:05.171810,2025-03-17 17:20:07.929336,0 days 00:00:02.757526,0.40359706252283967,3.2173873724271695,15.517240217619399,True,0.4285870292618671,1.613262462052219,0.014161852187461677,0.01553837599297507,12304.0,0.19094619550879152,64437.0,52133.0,,,0.2281817410798318,0.6619219725272505,"[[ 1.22153135e+00  2.98610863e-03 -2.03916042e+00]
 [-2.98610863e-03  1.22153135e+00  3.59130825e+00]]",13769.0,1.0000000000000007,0.9999999999990258,62972.0,COMPLETE
40,0.0,2025-03-17 17:20:07.950398,2025-03-17 17:20:10.791302,0 days 00:00:02.840904,0.4970750133439148,1.6136167999672832,36.49530793774729,False,0.19763665088341348,2.754381186111132,0.023736400614763682,0.05264797515119663,,,,,,,,,,,,,,COMPLETE
41,0.23339125910564334,2025-03-17 17:20:10.799725,2025-03-17 17:20:15.728622,0 days 00:00:04.928897,0.33377122581695723,2.804503434802898,25.973167517691277,True,0.2923724024505656,3.271564230184598,0.0355076106559729,0.02565950316401248,55809.0,0.35266350710900474,158250.0,102441.0,,,0.36984272179515654,0.6617958887180931,"[[ 1.21218973e+00  1.03985532e-03  2.28265687e+00]
 [-1.03985532e-03  1.21218973e+00  4.93238087e+00]]",57229.0,1.0000000000000069,1.0000000000020344,156830.0,COMPLETE
42,0.1392464530204005,2025-03-17 17:20:15.755832,2025-03-17 17:20:30.925788,0 days 00:00:15.169956,0.2734736838517114,2.5412767663290685,22.45692692377841,True,0.3188187871117034,0.29419555289802723,0.008031998853326415,0.012649931843047135,66990.0,0.2504636137947537,267464.0,200474.0,,,0.25564035013597414,0.5559548187886013,"[[ 1.2044756   0.01122241  1.37579617]
 [-0.01122241  1.2044756   8.5503545 ]]",73422.0,1.0000000000000018,1.0000000000032299,261032.0,COMPLETE
43,0.0,2025-03-17 17:20:30.940273,2025-03-17 17:20:35.366311,0 days 00:00:04.426038,0.33009951245182617,2.290556956656731,20.28694465187348,True,0.4191018783988203,2.1527009708516665,0.06006679280329612,0.04135906432401624,,,,,,,,,,,,,,COMPLETE
44,0.0,2025-03-17 17:20:35.439575,2025-03-17 17:20:35.582623,0 days 00:00:00.143048,0.9974460120224867,3.045591581120242,36.04433008717814,True,0.2202400720615667,1.2526974560481086,0.03028287249689518,0.0034617857829059955,,,,,,,,,,,,,,COMPLETE
45,0.0,2025-03-17 17:20:35.634207,2025-03-17 17:20:37.087532,0 days 00:00:01.453325,0.6122617368271744,2.6891372650607153,12.998083619991126,True,0.4730481423082309,0.9166268173295227,0.045208009446416224,0.02544747000339469,,,,,,,,,,,,,,COMPLETE
46,0.13730387858637494,2025-03-17 17:20:37.097848,2025-03-17 17:20:42.430383,0 days 00:00:05.332535,0.4077478123712831,3.5961136464279937,47.29478851812509,True,0.2569711716263525,2.503721541067774,0.018700409414602756,0.05137416471626671,48768.0,0.2679796026024266,181984.0,133216.0,,,0.15628330073966842,0.5123669012603111,"[[ 1.22474311 -0.01766399  4.48628037]
 [ 0.01766399  1.22474311  0.99037356]]",174729.0,1.0000000000000162,0.9999999999987494,56023.0,COMPLETE
47,0.0,2025-03-17 17:20:42.456543,2025-03-17 17:20:43.660725,0 days 00:00:01.204182,0.8962636417344619,1.7261536314079762,1.9190346015317417,True,0.32919363046732286,0.2700138369557188,0.07200720382455278,0.07894345343498527,,,,,,,,,,,,,,COMPLETE
48,0.0,2025-03-17 17:20:43.669318,2025-03-17 17:20:46.386860,0 days 00:00:02.717542,0.18312464399001255,1.4794360724100952,19.572014555822403,True,0.3909933231737247,0.5134498379821153,5.1068948236865364e-05,0.03437702488718841,,,,,,,,,,,,,,COMPLETE
49,0.0,2025-03-17 17:20:46.394756,2025-03-17 17:20:47.555391,0 days 00:00:01.160635,0.5683008004811418,2.4791776356741693,8.858519942894214,False,0.5575390341529999,1.627383328643942,0.009675383584983828,0.01265966473112489,,,,,,,,,,,,,,COMPLETE
